65,3,-24.833333333333332,252,276
142,4,-37.375,255,269
85,3,33.5,285,284
152,3,-33.166666666666664,253,284
148,3,0.16666666666666666,252,255
205,3,16.833333333333332,277,267
89,2,-24.75,266,272
111,3,-33.166666666666664,280,269
173,4,-37.375,285,268
92,2,-24.75,270,264
93,2,-24.75,262,255
94,2,-24.75,268,277
145,4,-37.375,265,261
88,3,33.5,285,283
97,2,12.75,284,281
98,2,12.75,258,285
196,3,16.833333333333332,272,276
100,2,12.75,268,281
124,3,33.5,253,260
102,2,25.25,254,252
165,5,-39.9,279,253
197,3,25.166666666666668,252,257
63,2,-24.75,280,257
64,2,-24.75,284,268
66,5,-39.9,266,257
68,4,-31.125,283,259
69,2,12.75,285,261
178,2,-24.75,258,269
181,5,-39.9,277,255
105,3,-33.166666666666664,268,252
81,5,-39.9,260,265
77,4,-37.375,258,263
108,3,-33.166666666666664,266,279
122,3,-33.166666666666664,278,260
136,5,40.1,254,285
78,2,25.25,270,269
72,4,25.125,283,273
80,2,-24.75,252,283
99,3,-33.166666666666664,283,254
170,3,-8.166666666666666,266,280
106,2,-24.75,261,277
107,2,-24.75,275,261
179,4,25.125,259,285
109,2,25.25,260,255
198,4,6.375,285,253
84,5,40.1,254,282
201,3,-33.166666666666664,256,253
76,3,25.166666666666668,263,285
203,4,-37.375,282,265
116,2,-24.75,275,271
117,2,-24.75,256,261
175,3,25.166666666666668,256,266
119,2,-12.25,252,275
172,5,40.1,282,261
113,5,20.1,271,276
79,4,-31.125,282,259
195,4,-37.375,271,282
123,2,-12.25,277,259
171,3,-16.5,274,285
67,3,33.5,282,285
151,3,-33.166666666666664,254,265
118,4,-37.375,277,265
128,2,25.25,283,260
129,2,25.25,283,282
131,2,-12.25,280,276
132,2,-24.75,271,279
90,3,-8.166666666666666,267,273
134,2,-24.75,272,262
135,2,-12.25,280,272
127,3,16.833333333333332,274,255
138,2,25.25,262,261
139,2,-24.75,254,262
133,4,37.625,253,282
167,2,-24.75,279,285
114,3,-33.166666666666664,265,257
144,2,-24.75,272,265
169,5,-14.9,272,270
83,4,37.625,267,265
146,4,18.875,281,261
120,4,-37.375,279,267
147,2,12.75,275,254
126,3,16.833333333333332,269,267
125,4,18.875,260,254
103,3,16.833333333333332,260,282
153,4,37.625,262,267
192,6,41.75,260,274
73,3,33.5,258,262
154,2,12.75,265,278
200,5,-39.9,279,260
115,3,33.5,259,257
180,2,-24.75,253,264
155,3,16.833333333333332,260,275
159,2,-24.75,268,279
160,2,-24.75,257,275
161,2,-24.75,262,280
157,3,33.5,267,261
162,2,-12.25,253,278
163,2,-24.75,266,253
164,2,-12.25,261,276
95,4,-37.375,265,275
168,2,12.75,277,285
86,4,31.375,279,278
62,3,33.5,255,282
82,3,-33.166666666666664,256,252
87,3,33.5,258,256
156,4,18.875,282,273
174,2,-12.25,260,270
91,3,-33.166666666666664,258,279
166,3,-33.166666666666664,253,263
